,Event Code,Alpha,Beta,Delta,Theta,TBR
1622783440.7372813,0,1.8431821113330873,87.81456388176869,6.784954168300725,3.2862776830456073,0.26721589698526393
1622783440.927125,0,1.9029182045810236,88.63502579844051,6.574820271440403,3.2810600780751997,0.2701414289568186
1622783441.1338437,0,1.975372585024014,90.24687311517606,6.367967017146056,3.2765594430278577,0.2754318201283088
1622783441.3265624,0,2.0400601752295575,93.35468398355712,6.653888527624503,3.342454825767459,0.2792997627488414
1622783441.5322812,0,2.0816102652219306,96.41381886100608,6.840172134543578,3.3578451477139812,0.28713003316023833
1622783441.737125,0,2.0833987175387807,99.23208468818349,7.054637542913373,3.3580082574289927,0.2955087572183608
1622783441.9288437,0,2.081772651386825,101.94577539050232,7.23713283153654,3.360641688204662,0.3033521120335928
1622783442.1215625,0,2.0957672500184708,103.45449309719092,7.418515998532458,3.379089836320136,0.30616082468483274
1622783442.3272812,0,2.091403882207553,104.91104264012041,7.519044283750583,3.431278981018721,0.30574909012199614
1622783442.532125,0,2.0596557031905527,106.35902019881054,7.545932718628405,3.471344769562804,0.3063914052311371
1622783442.7248437,0,2.070091855073216,107.16437680529619,7.541959652158007,3.4538482038642813,0.3102752943380577
1622783442.9305625,0,2.1106686320633794,107.33200278981072,7.566081841025871,3.4026822357913797,0.31543351789018276
1622783443.1222813,0,2.115643599424491,106.09515809799204,7.64365846154994,3.399139502228576,0.3121235772419253
1622783443.327125,0,2.081286800708078,105.38125575337685,7.645945745022173,3.378165468401691,0.3119481764261708
1622783443.5188437,0,2.088853877651415,105.51014968313541,7.72249440014661,3.4027962806044836,0.31006895794652817
1622783443.7255626,0,2.0825186371518356,106.72663641485003,7.827271686405455,3.5993616743689296,0.2965154548787105
1622783443.9172812,0,2.005292139504533,107.53062494596317,7.8634724084121554,3.744196511138876,0.287192791900913
1622783444.122125,0,1.9320464078495594,106.88965852390776,7.640143823242562,3.5336570621383356,0.3024901869204738
1622783444.3138437,0,1.8776309453112279,105.9559514391891,7.219581795006374,3.0927860212009453,0.3425906309484865
1622783444.5205624,0,1.862227431281098,104.70464470414653,6.559673716895038,2.8141327458562686,0.37206718431574054
1622783444.7112813,0,1.8978194075703496,103.67032166620022,6.09036499293786,2.7913492673110234,0.37139860239012096
1622783444.917125,0,1.9560525711390107,103.18082498079842,5.8634702938974606,2.9575849791525974,0.34886850490551796
1622783445.1238437,0,1.9874184915654876,102.99374167080713,5.687641317112414,3.1784550855448535,0.3240371151985363
1622783445.3155625,0,1.967286765683887,101.99319658395271,5.475597930490002,3.2822953409579805,0.31073741387996084
1622783445.5222812,0,1.9011055024065926,99.13773051534663,5.087230881603913,3.2284804592393366,0.307072419260374
1622783445.712125,0,1.8439630463412702,96.15221272244435,4.810665945526921,3.1772436705331453,0.30262775755663046
1622783445.9178438,0,1.8774921379324963,95.35300662137915,4.783726724911376,3.2269394647967595,0.29549053417828747
1622783446.1115625,0,1.9367492124107941,94.9514106005665,4.843528193417633,3.284688942733577,0.28907276231016943
1622783446.3162813,0,1.944650872670472,94.08126939290624,4.869853930964222,3.3191044107019687,0.2834537807534915
1622783446.507125,0,1.9491885387529124,93.45100649809999,4.756572230845864,3.322560452253852,0.28126202018298174
1622783446.7138438,0,1.9636748935708976,94.80580130284798,4.8017959579397695,3.35844335073049,0.28229090504750337
1622783446.9055624,0,1.9551426537431762,96.53722465874314,4.998071705672083,3.4454775385905485,0.280185325771225
1622783447.1112812,0,1.9094812584013612,97.94607281538174,5.180915175134843,3.5202936850989923,0.2782326748190824
1622783447.303125,0,1.87853163494558,100.67479972951168,5.198893106561124,3.531823785127292,0.28505046076607476
1622783447.5078437,0,1.8727380783797092,102.27071052967962,5.285789482367245,3.5536626739757224,0.287789584753306
1622783447.6995625,0,1.8428191886059948,103.63887753406564,5.215803562058643,3.557113605938715,0.2913566700850859
1622783447.9072812,0,1.779294416685825,103.28600524386584,4.9735545611666385,3.364524783272386,0.3069854196271022
1622783448.097125,0,1.6987063513481275,101.37843365096049,4.667755837824695,3.0607545196000725,0.3312204000737926
1622783448.3028438,0,1.6154830459314762,99.72616016104958,4.514328626638862,2.915661409561957,0.3420361494445003
1622783448.4945624,0,1.5480939264903475,98.27563859650341,4.443485689581808,2.9065921268327948,0.33811293194271025
1622783448.7012813,0,1.5161047028110057,96.62846687153373,4.409671135309935,2.9049804419045735,0.332630352609816
1622783448.906125,0,1.486936865275598,95.68416810065291,4.215672888695819,2.8394461495364567,0.33698180230068275
1622783449.0978436,0,1.4064535489179495,94.50967114163211,3.8438157443248038,2.593868497437885,0.36435798975539746
1622783449.3045626,0,1.3150995818371605,93.14227657570943,3.4597479757850853,2.3027229015918707,0.4044875591037039
1622783449.4962811,0,1.2774488125925394,92.82508912137725,3.3247361636228185,2.1752717022200865,0.42672871175881055
1622783449.702125,0,1.2741023793230188,92.98476185614358,3.2599886898076087,2.12984218943307,0.43658052374713563
1622783449.8928437,0,1.2506045343875138,91.81808852655237,3.1969605330766235,2.0878343456725204,0.4397766935718097
1622783450.0995624,0,1.1844715212318075,89.23470598938475,3.0258392201765796,2.0031826419720615,0.44546465269655283
1622783450.2932813,0,1.1244873948487166,88.0287740408576,2.851321272242142,1.9503464976373692,0.4513494096946096
1622783450.497125,0,1.1379575626918137,87.6803663564518,2.7481236302994447,1.9239359123243904,0.45573434018662995
1622783450.6898437,0,1.1317651862619225,87.07590131598035,2.7960997613443013,1.903537306515749,0.4574425781828506
1622783450.8945625,0,1.122899028039643,85.3216699187532,2.7602825387725356,1.8243306857074928,0.4676875228114943
1622783451.0862813,0,1.1069264229052587,84.18789147086817,2.555366498512948,1.709293936966195,0.4925302175955309
1622783451.292125,0,1.081782124838142,83.90275641900539,2.3445242391800614,1.6266024161162955,0.5158160075732156
1622783451.4848437,0,1.0696105037331467,82.31049205029657,2.2718772073282287,1.5867945084708226,0.5187218106118753
1622783451.6895626,0,1.0783742114039847,80.42141196222025,2.2299516447626764,1.551031578587897,0.5185027376131063
1622783451.8812811,0,1.0964233906957919,78.17995724924235,2.231812542687242,1.488197967403178,0.5253330468234814
1622783452.086125,0,1.102290859759097,76.89004714084278,2.2250258591678183,1.4433260075707774,0.5327282037289296
1622783452.2928438,0,1.1027057756661969,76.66896894352897,2.159099430731979,1.4510617487544233,0.5283646199711407
1622783452.4845624,0,1.0978383149231552,77.98736948468436,2.068072409681733,1.4439283320743042,0.5401055423065911
1622783452.6912813,0,1.0881132855583413,81.2838622497002,1.9945256513896434,1.4351221565447752,0.5663898496654852
1622783452.881125,0,1.0651912572792572,83.9408169963594,2.0296212478297364,1.4499852189899027,0.5789080874550897
1622783453.0878437,0,1.0338223355313376,84.27827305402337,2.048410537525972,1.460151108093989,0.5771887072978096
1622783453.2795625,0,1.0194100122384377,84.22976975569965,2.05336311518409,1.4491955658512488,0.5812174128908791
